title_abstract,C23,C04,C14,C10
"The causes of hospital-treated acute lower respiratory tract infection in children.
 OBJECTIVE: To determine the etiologic agents in children with acute lower respiratory infection.
 DESIGN: A survey of a series of patients.
 SETTING: General pediatric hospital serving an urban population with and without referrals in Helsinki, Finland.
 PARTICIPANTS: 135 Finnish children aged 2 months to 15 years (mean, 1.75 years), with clinically defined acute lower respiratory infection (with difficulty of breathing), or found to have fever and a pneumonic infiltrate on chest roentgenogram.
 SELECTION PROCEDURES: Consecutive sample on voluntary basis.
 INTERVENTIONS: None.
 MAIN RESULTS: Of 121 children with adequate samples, an etiologic diagnosis could be established in 84 (70%): 30 (25%) had bacterial, 30 (25%) viral, and 24 (20%) mixed infections.
 Antibody assays alone identified the agent in 91% of positive cases.
 CONCLUSIONS: Bacterial infections are common but generally underestimated in acute lower respiratory infection; serologic methods add significantly to their detection.
",1,0,0,0
"Long-term enteral feeding of aged demented nursing home patients 
 The terminal phase of dementia is initiated by the inability to swallow.
 New techniques of enteral alimentation permit more effective, longer intubation.
 To assess the application of these new techniques to late-stage demented aged patients, all current intubations in a teaching nursing home were reviewed.
 Of 52 feeding intubations, 26 had been in situ for more than 1 year.
 A randomly selected comparison group of nonintubated patients was also studied.
 Weight increased for 48% of the intubated group versus 17% of the nonintubated group (P less than .01).
 Aspiration pneumonia occurred more often in the intubated group (58%) than in the nonintubated group (17%) (P less than .01).
 Decubitus ulcers were also more common in the intubated group (21%) than in the nonintubated group (14%).
 Restraints were used more in the intubated group (71%) than in the nonintubated group (56%).
 These differences did not reach statistical significance.
 All of the intubated patients were severely demented, with MMSE scores of zero.
 Seventy-one percent of the nonintubated group were demented, with MMSE scores of less than 23.
 Prolongation of the terminal phase of dementia in the aged by tube feeding is now feasible.
 The implications of this change in the life-span of demented nursing home patients need attention by families, nursing homes, and those who make public health policy.
",0,0,0,0
"House dust mites in the West Indies.
 The purpose of this study was to determine the role of the house dust mite.
 Dermatophagoides pteronyssinus (Dp) and Dermatophagoides farinae (Df), in allergic diseases on the island of St.
 Lucia.
 Dust samples were taken from living quarters of patients and hospital volunteers.
 The level of Df antigen in these living quarters was measured by RAST inhibition.
 All samples showed Df antigen within a large range of values.
 Prick tests were done to house dust mite and molds on 91 patients with suspected allergic disease with 63 (69%) reacting to at least one antigen.
 Of these, 56 (88.9%) reacted to one or both mites.
 House dust mite is a major allergen in St.
 Lucia.
",0,0,0,0
"Intermittent volume cycled mechanical ventilation via nasal mask in patients with respiratory failure due to COPD.
 Intermittent mechanical ventilation via nasal CPAP mask was provided to 13 patients admitted to this institution for exacerbation of chronic respiratory failure.
 Ten suffered from COPD, two suffered from obesity hypoventilation syndrome (OHS), and one from severe hypothyroidism.
 All except one presented with dyspnea and hypercapnia due solely to progression of their underlying disease processes.
 Six of the patients with COPD and the patient with hypothyroidism responded to positive pressure ventilation by mask with improvements in blood gas values and clinical status.
 The remaining two patients with COPD and the two patients with OHS were unable to use the system.
 Four of the patients with COPD and chronic respiratory failure have been subsequently maintained on daily volume ventilation via nasal mask for about 20 months with persistent clinical and physiologic improvements.
 Application of volume ventilation through the nasal CPAP mask is a feasible strategy for providing long-term mechanical ventilation to selected patients with COPD and respiratory failure.
",0,0,0,0
"Hemoptysis. Indications for bronchoscopy.
 Indications for bronchoscopy in patients with hemoptysis and a normal or nonlocalizing chest roentgenogram continue to be controversial.
 We reviewed the records for 119 bronchoscopies performed for hemoptysis in patients with a normal (n = 75) or nonlocalizing (n = 44) chest roentgenogram.
 Bronchogenic carcinoma was identified in 2.5% of the bronchoscopies.
 Additional neoplasms were found in another 2.5%.
 The presence of nonlocalizing abnormalities was not associated with an increase in either the rate of bronchogenic carcinoma or in the diagnostic yield (specific anatomic diagnosis or bleeding site identified) at bronchoscopy when compared with patients with normal chest roentgenograms.
 The factors of male sex, age more than 40 years, and a more than 40 pack-year smoking history appear useful in identifying patients in whom the yield of bronchoscopy is likely to be high.
",0,0,0,0
"Cytomegalovirus pneumonitis after cardiac transplantation.
 To evaluate the incidence and clinical features of cytomegalovirus (CMV) pneumonitis after cardiac transplantation, we identified 27 (16%) of 171 consecutive recipients in whom CMV pneumonitis was confirmed by strict diagnostic criteria.
 Cytomegalovirus pneumonitis occurred in 6 (30%) of 20 patients treated with azathioprine and prednisone, and 8 (25%) of 32 patients treated with azathioprine, cyclosporine, and prednisone, but only 13 (11%) of 119 patients treated with cyclosporine and prednisone.
 The incidence of CMV pneumonitis was not related to recipient preoperative CMV titers or to postoperative cardiac rejection, but there was a trend toward increased CMV pneumonitis in patients who received organs from CMV-positive donors.
 Mean onset of CMV pneumonitis was 2.9 +/- 1.6 (SD) months after transplantation.
 In the azathioprine-prednisone group, CMV was always associated with at least one other respiratory pathogen (Aspergillus, n = 5; Pneumocystis carinii, n = 2).
 In the two cyclosporine groups, CMV was either the sole respiratory pathogen (n = 9), or associated with P carinii (n = 11).
 Roentgenographically, diffuse bilateral hazy pulmonary opacities were present in 19 (70%) of 27 patients, but focal subsegmental opacity (26%), small pleural effusion (26%), and lobar consolidation (7%) were also observed.
 When bronchoscopy was performed, bronchoalveolar lavage was the most sensitive technique for detecting CMV (72%), whereas transbronchial biopsy (39%) and combined washings and brushings (33%) were relatively insensitive techniques.
 Respiratory failure and death occurred in 52% and 44%, respectively, of patients with CMV pneumonitis.
 In this population of immunocompromised hosts: (1) CMV pneumonitis, alone or with other respiratory pathogens, was a major cause of morbidity and mortality; (2) localized roentgenographic opacity did not exclude CMV pneumonitis; (3) bronchoalveolar lavage was the most sensitive bronchoscopic technique for detecting CMV pneumonitis.
",0,0,0,0
"Interleukin-2 induces early multisystem organ edema mediated by neutrophils.
 Interleukin-2 (IL-2), an agent known to activate neutrophils (PMN) with thromboxane (Tx)B2 release, produces pulmonary edema within 6 hours of intravenous infusion.
 This study tests the role of PMN in mediating the edema.
 Anesthetized rats received 10(6)U recombinant human IL-2 (n = 15) or vehicle (n = 14) as a constant intravenous infusion during a period of 1 hour.
 At this time there was leukopenia 3.63 +/- 0.43 (x10(3)/mm3) relative to vehicle-infused control rats 6.12 +/- 0.86 and a decline in PMN, 2.19 +/- 0.14 relative to control value of 3.33 +/- 0.05 (both p less than 0.05).
 After 6 hours edema, as measured by increase in the wet to dry weight (W/d) ratio, was present in the lungs (4.93 +/- 0.20 relative to control 4.06 +/- 0.10), heart (4.09 +/- 0.11 versus 3.76 +/- 0.08), liver (3.50 +/- 0.10 versus 3.18 +/- 0.10), and kidney (4.25 +/- 0.07 versus 4.00 +/- 0.07) (all p less than 0.05).
 There was increased lung permeability demonstrated by bronchoalveolar lavage fluid protein concentration of 1970 +/- 210 micrograms/mL relative to control 460 +/- 90 micrograms/mL (p less than 0.05).
 Interleukin-2 resulted in lung PMN sequestration of 53 +/- 7 PMN/10 high-power fields (HPF) relative to 23 +/- 2 PMN/10 HPF in controls (p less than 0.05) and increased plasma TxB2 levels to 1290 +/- 245 pg/mL relative to control 481 +/- 93 pg/mL (p less than 0.05).
 Pretreatment of other rats (n = 8) with selective anti-rat neutrophil antiserum 18 hours before the experiment led to a peripheral PMN count 10% of baseline and prevented edema in the lungs (W/d ratio 4.20 +/- 0.16) and heart (3.67 +/- 0.07) (both p less than 0.05) but not liver or kidney.
 Protein in lung lavage was reduced to 760 +/- 220 micrograms/mL (p less than 0.05).
 The protection afforded by leukopenia was associated with lack of PMN sequestration and prevention of the increase in plasma Tx levels (484 +/- 120 pg/mL, p less than 0.05).
 These data indicate that the rapid induction of lung and heart edema with a 1-hour infusion of IL-2 in the rat is mediated, in large part, by activated PMNs.
",1,0,0,0
"Adverse reactions to co-trimoxazole in HIV infection.
 The origin of the increased frequency of side-effects to co-trimoxazole in HIV-positive patients is unknown.
 Data on plasma concentrations of the parent compounds are inconclusive.
 Evidence points to the hydroxylamine derivatives of sulphamethoxazole as the reactive metabolites that cause adverse reactions to co-trimoxazole.
 HIV-positive individuals have a systemic glutathione deficiency, and therefore a reduced capacity to scavenge such metabolites.
 This process would lead to an increased exposure to toxic intermediates and would explain the high frequency of adverse reactions to co-trimoxazole in these patients.
",0,0,0,0
"Blood eosinophilia and FEV1. Cross-sectional and longitudinal analyses.
 A previous cross-sectional analysis of 1980 data from a population of working men in the Paris area has shown a significant relationship of blood eosinophilia to a reduced FEV1 among nonsmokers, remaining after excluding men with a history of asthma.
 In the present report, we reexamine this relationship, after taking into account asthma, bronchial hyperresponsiveness, and positive skin prick tests, using data collected in 1985 in a subsample of 363 men from the initial population.
 Blood eosinophilia, defined by 5% or more eosinophils or by 250 or more eosinophils per cubic millimeter appeared to be associated with a lower FEV1, primarily in nonsmokers.
 A difference of approximately 0.40 L was observed in never-smokers with eosinophilia (greater than or equal to 5% of eosinophils) compared with those without.
 This association persisted after exclusion of subjects with atopy, asthma, and bronchial hyperresponsiveness.
 Longitudinally, no significant association was observed between 1980 eosinophilia and the annual FEV1 decline between 1980 and 1985, even in nonsmokers.
 The results of our cross-sectional analyses suggest that asthma or asthma-like disorder does not explain the association between eosinophilia and FEV1.
 The role of eosinophil in respiratory disorders may go beyond its intervention in allergy.
 Further longitudinal studies are needed to better understand discrepancies between cross-sectional and longitudinal data and whether eosinophilia is a risk factor for chronic air-flow limitation.
",0,0,0,0
"Clinical symptoms in young adults with atypical chest pain attending the emergency department.
 Clinical symptoms were studied in 69 consecutive patients below the age of 40 years who were attending the emergency unit because of unexplained chest pain.
 In a structured interview a few weeks after the emergency visit, only one-third of the patients reported that they believed in the doctor's diagnosis; they believed in a psychological or cardiac origin of the pain more often than the doctors.
 The chest pain was most often described as oppressive and/or stabbing.
 In 95% of cases it was central or left-sided.
 Associated symptoms were commonly reported, breathlessness being most commonly reported by two-thirds of the patients, followed by dizziness, palpitation and numbness/tingling.
 Mental symptoms such as tiredness, anxiety and tension were frequently reported.
 On the basis of the background literature the aetiology is discussed.
 We conclude that immediate symptom analysis, including psychosomatic symptoms, particularly breathing problems, is of central importance.
",1,0,0,1
"Chylothorax after posterior spinal instrumentation and fusion.
 Chylothorax occurred in a 16-year-old girl after posterior spinal fusion and instrumentation for idiopathic scoliosis.
 Nonoperative management, including chest tube drainage for 26 days and total parenteral nutrition, successfully treated this unusual complication after a posterior spinal fusion.
",0,0,0,0
"Eosinophilic myositis an expression of L-tryptophan toxicity?
 Eosinophilia-myalgia syndrome possibly due to L-tryptophan is a new clinical entity that has been recently reported.
 We describe the clinical presentation of eosinophilia, eosinophilic pustular folliculitis, myalgia, and eosinophilic myositis, that led to respiratory failure in a young man taking an L-tryptophan containing compound.
",0,0,0,0
"Reversibility of cardiac abnormalities in human immunodeficiency virus (HIV)-infected individuals: a serial echocardiographic study.
 Seventy adults who tested positive for human immunodeficiency virus (HIV) were prospectively studied with serial echocardiography to better define the prevalence and progression of cardiac disease in such patients.
 Fifty outpatients (Group A), including 44 with acquired immunodeficiency syndrome (AIDS) and 6 with AIDS-related complex, and 20 additional patients (Group B) with asymptomatic HIV infection had baseline echocardiographic studies at a time when no patient had symptomatic heart disease.
 Follow-up studies were performed at 9 +/- 3 months in 52 patients (74%) and again at 15 +/- 3 months after baseline studies in 29 patients (41%).
 During the study, 22 patients (44%) in Group A and 1 patient (5%) in Group B died.
 Cardiac abnormalities were noted in 26 patients (52%) in Group A and 8 patients (40%) in Group B (p = NS) on initial or follow-up study.
 An abnormal left ventricular ejection fraction (less than 45%) or fractional shortening (less than 28%) was seen in seven patients in Group A; of these, three had normal left ventricular function on a later echocardiogram.
 One patient in Group B had persistent left ventricular dysfunction.
 All patients in Group A with left ventricular dysfunction on two serial studies died within 1 year after the initial echocardiogram.
 Ejection fraction did not change between baseline and two follow-up studies in either group (A: 52 +/- 9 vs.
 56 +/- 9 vs.
 55 +/- 5%, p = NS; B: 58 +/- 6 vs.
 58 +/- 5 vs.
 59 +/- 6%, p = NS).
 Right-sided cardiac enlargement resolved in 18 patients (44%), including 5 of 10 in Group A and 3 of 8 in Group B.
",0,0,1,0
"AIDS-associated polyclonal lymphoma: identification of a new HIV-associated disease process.
 High-grade non-Hodgkins B-cell lymphoma is one of the principle malignancies that occurs in individuals infected with the human immunodeficiency virus (HIV-1).
 Immunoblastic lymphomas that arise in immunosuppressed transplant patients have been described as both monoclonal and polyclonal, and occur in association with Epstein-Barr virus (EBV) infection.
 To test whether polyclonal lymphoma occurred in patients with AIDS we studied tumors from multiple sites in three patients who died with widespread AIDS-associated large cell or large cell immunoblastic lymphoma.
 All biopsy specimens contained invasive lymphoma.
 Tumor cells were mature IgM-positive immunoblasts by immunohistochemical analysis, with the same B-cell phenotype observed in all tumor sites.
 Only a minority of sites from all patients analyzed were monoclonal as measured by immunoglobulin gene rearrangements, with one case having several foci of monoclonal disease with other histologically identical metastases showing no evidence of monoclonal proliferation.
 Similar to the transplant-associated polyclonal B-cell proliferations.
 EBV gene sequences were present in multiple sites from one autopsy.
 In the other two autopsies, polyclonal B-cell proliferations occurred in the absence of EBV involvement except at one site, where a minor clone of EBV-infected cells was found.
 In contrast to HIV-associated Burkitt's lymphoma, no c-myc rearrangements were found at any site.
 These studies describe the occurrence of polyclonal lymphoma in AIDS and suggest that EBV-negative polyclonal lymphoma may be a distinct disease entity unique to HIV-infected individuals.
",0,1,0,0
"Exposure-related declines in the lung function of cotton textile workers. Relationship to current workplace standards.
 To evaluate the effectiveness of the current workplace standards in preventing chronic health effects from cotton dust exposure, a 5-yr longitudinal study of a large multimill population of cotton textile and synthetic process workers, employed at a major U.S.
 textile company, was conducted.
 To control for and assess the effect of type of work area on annual change in lung function, we limited the analysis to those 1,817 subjects who, throughout their textile work history at the company, worked exclusively in cotton yarn manufacturing or slashing and weaving, or in synthetic textile mills.
 The expected effect of smoking on average annual change in lung function was demonstrated for both cotton and synthetic workers.
 Despite lower overall dust exposure, cotton yarn workers exhibited steeper annual declines in lung function than did workers in slashing and weaving; this difference persisted within each smoking category, indicating a dust potency effect.
 There were mill differences in annual change in lung function among cotton workers, potentially masking an exposure effect.
 A smoking-work area interaction persisted after adjusting for mill differences, with the largest annual declines observed in cotton yarn workers who smoke.
 A significant dose-response relationship was seen in cotton yarn manufacturing between annual declines in FEV1, FVC, and FEF25-75 and average exposure by mill, and the larger declines were found in mills using the highest percentage and lowest grade of cotton.
 Synthetic textile workers had larger declines than did cotton textile workers, which were not explained by smoking or duration of employment.
 Unrecognized and unmeasured causative exposures or selection bias could explain this result.
",0,0,0,0
"Phase I and imaging trial of indium 111-labeled anti-epidermal growth factor receptor monoclonal antibody 225 in patients with squamous cell lung carcinoma 
 Murine monoclonal antibody (MAb) 225 (IgG1) against the epidermal growth factor (EGF) receptor competitively blocks EGF binding and inhibits EGF-induced activation of receptor tyrosine kinase and cell proliferation.
 The effect of MAb 225 was studied in a phase I trial in patients with inoperable squamous cell carcinoma of the lung, which invariably expresses high levels of EGF receptors.
 Groups of three patients received total doses of MAb 225 ranging from 1 mg to 300 mg.
 Except at the lowest dose, each infusion included 4 mg of indium 111 (111In)-labeled MAb 225.
 No toxicity was observed.
 Tumors were imaged in all patients who received doses of 20 mg or greater.
 Presumed metastases greater than or equal to 1 cm in diameter were imaged with doses of 40 mg or greater.
 Single-photon-emission-computed tomography could be carried out at the 120-mg and 300-mg doses and significantly improved tumor visualization.
 All patients produced anti-murine antibodies.
 We conclude that treatment with an MAb that inhibits EGF receptor function is safe at the doses and schedule studied.
 111In-labeled MAb images squamous cell lung carcinoma; tumor uptake of the labeled MAb is dose dependent.
 Further studies are warranted to explore the potential therapeutic efficacy of anti-EGF receptor MAbs and other agents that act in a comparable manner.
",1,1,0,0
"Childhood pulmonary function following hyaline membrane disease.
 Hyaline membrane disease per se is not associated with abnormal lung function or increased nonspecific airway reactivity in childhood or adulthood.
 Very-low-birth-weight infants who survive almost routinely in neonatal ICUs are at risk, however, for developing airflow obstruction and having airway hyperreactivity as children, and for having recurrent bouts of wheezing, cough, and respiratory infections.
 Neonates who develop BPD have the greatest risk of abnormal pulmonary function as children.
 Continued research into the prevention of premature birth and into the causes of neonatal lung injury, combined with improvements in the neonatal ICU and follow-up treatment, will undoubtedly contribute to improvement in the clinical course of premature infants.
",0,0,0,0
"Treatment of atelectasis of upper lung lobes. Selective bronchial suctioning with J-shaped catheter tip and guide mark.
 We developed a technique for blind bronchial suction using a curved-tip catheter with a guide mark, for the treatment of atelectasis of the lower and middle lobes of the lung.
 Suction of the upper lobe bronchi could not be performed because of the combination of the peculiar anatomy of the upper lobe bronchi with catheter design.
 We treated successfully two cases of atelectasis of the right upper lobes using a Rusch Metras bronchography catheter with a guide mark which is not readily available.
 Therefore we devised a J-shape tipped catheter with a guide mark.
 We have successfully treated 13 episodes of atelectasis of the right upper lobe in 10 patients and one episode in the left upper lobe in one patient with this new catheter.
",0,0,0,0
"Fulminant pulmonary aspergillus infection occluding the aortic arch after high-dose antileukemic chemotherapy.
 After antileukemic chemotherapy a granulocytopenic patient experienced a rapidly progressive left-sided pneumonia with pleuritic pain.
 After 1 week, a sudden occlusion of all aortic branches was followed by death.
 At postmortem, a huge thrombus in the aortic arch caused by Aspergillus invasion from the left lung was found.
",0,1,1,0
"A case of cardiac hydatid cyst localized on the interventricular septum and causing pulmonary emboli.
 Cardiac hydatid cyst is rarely encountered.
 In this article, a case of hydatid cyst localized in multiple organs including the ventricular septum and causing pulmonary emboli is reported.
",0,0,1,0
"Decision analysis, public health policy, and isoniazid chemoprophylaxis for young adult tuberculin skin reactors.
 As part of a plan to eliminate tuberculosis in America, tuberculin skin testing was advised for all US citizens, with isoniazid chemopreventive therapy administered to appropriate positive reactors.
 Implementation of this plan, however, may be limited by concerns over which skin test reactors should receive isoniazid therapy.
 Recent decision analyses suggest that, contrary to American Thoracic Society guidelines, asymptomatic skin test reactors under age 35 years with normal chest roentgenograms and no predisposing conditions to tuberculosis reactivation will not benefit from isoniazid chemopreventive therapy.
 Repeated analysis of these studies reveals that calculated life expectancy depends on estimates of the probability of certain chance outcomes.
 If the isoniazid-related hepatitis case-fatality rate is below 1%, isoniazid chemopreventive therapy appears to be beneficial.
 A literature review suggests that this rate is indeed this low.
 If the tuberculosis case-fatality rate is above 6.7%, also supported by the literature, the advantages of isoniazid therapy are further increased.
 This repeated analysis should reassure physicians that isoniazid chemoprophylaxis for tuberculin skin test reactors is beneficial to the individual and consonant with public health policies.
",0,0,0,0
